id,initial_fen,moves,starting_color,motives,created_at,session,order_in_session,group
63,r2qr1k1/pppb1ppp/2n5/1B2b3/8/5N2/PPPB1PPP/R2QR1K1 w - - 0 1,"['b5c6', 'd7c6', 'f3e5']",white,Undermining,2025-02-28 13:19:28.222300,1,0,4
83,r2qkbnr/ppp2ppp/2n5/3pp3/4P1b1/2QP1N2/PPP1BPPP/RNB1K2R b KQkq - 0 1,['f8b4'],black,Pin,2025-03-01 00:55:16.392040,1,1,4
42,2r1r1k1/ppp1bppp/8/n4b2/2qP1B2/P3RN2/5PPP/R1QB2K1 w - - 0 1,"['e3e5', 'c4c1', 'f4c1', 'f5g6', 'e5a5']",white,Fork,2025-02-28 01:30:26.251166,1,2,4
57,1k6/p7/1p1prrB1/7P/4R3/2P3K1/PP3P2/8 b - - 0 1,"['f6g6', 'h5g6', 'e6e4']",black,Undermining,2025-02-28 13:11:50.325635,1,3,4
96,4k3/pp3ppp/6n1/1r6/8/2P5/PPQ2PPP/6K1 w - - 0 1,"['c2a4', 'a7a6', 'c3c4']",white,Pin,2025-03-01 01:09:32.070090,1,4,4
29,6k1/6p1/4p1n1/1p4r1/2pQP2p/5B1P/1P2KPPq/R7 w - - 0 1,"['d4d8', 'g8h7', 'd8g5']",white,Fork,2025-02-27 22:10:50.560066,1,5,4
91,r1bq1rk1/ppp2ppp/2nb4/8/2B1Q3/2N2N2/PPP2PPP/R1B1K2R b KQ - 0 1,['f8e8'],black,Pin,2025-03-01 01:05:13.219320,1,6,4
35,5r1k/pp4pp/6p1/2q5/5N2/1P6/P1P3PP/5RRK w - - 0 1,"['f4e6', 'f8f1', 'g1f1', 'c5e7', 'f1f8', 'e7f8', 'e6f8']",white,Fork,2025-02-27 22:25:41.344199,1,7,4
89,8/5r1k/6pp/1P6/1B5P/Pb3NP1/6K1/8 b - - 0 1,['b3d5'],black,Pin,2025-03-01 01:03:41.482912,1,8,4
45,2k1n3/1pb2p2/p1p4p/8/2P2P1P/2N2RB1/PPP3r1/2K5 b - - 0 1,"['g2g3', 'f3g3', 'c7f4', 'c1d1', 'f4g3']",black,Fork,2025-02-28 01:33:46.813727,1,9,4
99,2k4r/pb3ppp/8/2b5/R4B2/2N4P/PP4P1/7K w - - 0 1,['a4c4'],white,Pin,2025-03-01 01:13:59.039086,1,10,4
40,6k1/prp3pp/N3npb1/8/P7/4N3/5PPP/5RK1 b - - 0 1,"['g6d3', 'a6c5', 'e6c5']",black,Fork,2025-02-28 01:24:00.926907,1,11,4
70,4r1k1/pp1q1ppp/8/8/3P4/1QP1R2P/5PP1/6K1 w - - 0 1,['b3b7'],white,Undermining,2025-02-28 13:33:32.830074,1,12,4
37,r3k2r/ppp3pp/2n1pq2/2b5/3pP3/8/PPP2PPP/RNBQ1RK1 w q - 0 1,"['d1h5', 'f6g6', 'h5c5']",white,Fork,2025-02-27 22:27:38.484881,1,13,4
65,r2q1rk1/pppb1ppp/2n5/4b3/1P6/3B1N2/P1PB1PPP/1R1Q1RK1 w - - 0 1,"['b4b5', 'c6d4', 'f3e5']",white,Undermining,2025-02-28 13:22:16.648390,1,14,4
94,rnb1k1nr/pppp1ppp/3b4/4q3/2B5/2NP4/PPP2PPP/R1BQ1RK1 w kq - 0 1,['f1e1'],white,Pin,2025-03-01 01:07:46.151741,1,15,4
73,1r5k/2Rb1rp1/8/p2Pp2q/P2pP3/1P1Q2Rp/5P1N/7K w - - 0 1,"['c7d7', 'f7d7', 'g3h3', 'h8g8', 'h3h5']",white,Undermining,2025-02-28 14:11:59.424268,1,16,4
