id,session_number,order_in_session,motives
41,1,0,Fork
28,1,1,Fork
39,1,2,Fork
36,1,3,Fork
30,1,4,Fork
44,1,5,Fork
34,1,6,Fork
69,1,7,Undermining
56,1,8,Undermining
67,1,9,Undermining
64,1,10,Undermining
58,1,11,Undermining
72,1,12,Undermining
62,1,13,Undermining
95,1,14,Pin
82,1,15,Pin
93,1,16,Pin
90,1,17,Pin
84,1,18,Pin
98,1,19,Pin
88,1,20,Pin
24,2,0,Fork
47,2,1,Fork
23,2,2,Fork
42,2,3,Fork
1,2,4,Fork
27,2,5,Fork
35,2,6,Fork
52,2,7,Undermining
75,2,8,Undermining
51,2,9,Undermining
70,2,10,Undermining
2,2,11,Undermining
55,2,12,Undermining
63,2,13,Undermining
78,2,14,Pin
101,2,15,Pin
77,2,16,Pin
96,2,17,Pin
3,2,18,Pin
81,2,19,Pin
89,2,20,Pin
4,3,0,Fork
45,3,1,Fork
40,3,2,Fork
5,3,3,Fork
26,3,4,Fork
9,3,5,Fork
32,3,6,Fork
16,3,7,Undermining
73,3,8,Undermining
68,3,9,Undermining
17,3,10,Undermining
54,3,11,Undermining
21,3,12,Undermining
60,3,13,Undermining
10,3,14,Pin
99,3,15,Pin
94,3,16,Pin
11,3,17,Pin
80,3,18,Pin
15,3,19,Pin
86,3,20,Pin
38,4,0,Fork
46,4,1,Fork
6,4,2,Fork
48,4,3,Fork
29,4,4,Fork
37,4,5,Fork
8,4,6,Fork
66,4,7,Undermining
74,4,8,Undermining
18,4,9,Undermining
104,4,10,Undermining
57,4,11,Undermining
65,4,12,Undermining
20,4,13,Undermining
92,4,14,Pin
100,4,15,Pin
12,4,16,Pin
102,4,17,Pin
83,4,18,Pin
91,4,19,Pin
14,4,20,Pin
7,5,0,Fork
22,5,1,Fork
25,5,2,Fork
31,5,3,Fork
33,5,4,Fork
43,5,5,Fork
49,5,6,Fork
19,5,7,Undermining
50,5,8,Undermining
53,5,9,Undermining
59,5,10,Undermining
61,5,11,Undermining
71,5,12,Undermining
105,5,13,Undermining
13,5,14,Pin
76,5,15,Pin
79,5,16,Pin
85,5,17,Pin
87,5,18,Pin
97,5,19,Pin
103,5,20,Pin
