id,session_number,order_in_session,motives
1,1,0,Fork
2,1,1,Fork
3,1,2,Fork
4,1,3,Fork
5,1,4,Fork
6,1,5,Fork
7,1,6,Fork
8,1,7,Undermining
9,1,8,Undermining
10,1,9,Undermining
11,1,10,Undermining
12,1,11,Undermining
13,1,12,Undermining
14,1,13,Undermining
15,1,14,Pin
16,1,15,Pin
17,1,16,Pin
18,1,17,Pin
19,1,18,Pin
20,1,19,Pin
21,1,20,Pin
22,2,0,Fork
23,2,1,Fork
24,2,2,Fork
25,2,3,Fork
26,2,4,Fork
27,2,5,Fork
28,2,6,Fork
29,2,7,Undermining
30,2,8,Undermining
31,2,9,Undermining
32,2,10,Undermining
33,2,11,Undermining
34,2,12,Undermining
35,2,13,Undermining
36,2,14,Pin
37,2,15,Pin
38,2,16,Pin
39,2,17,Pin
40,2,18,Pin
41,2,19,Pin
42,2,20,Pin
43,3,0,Fork
44,3,1,Fork
45,3,2,Fork
46,3,3,Fork
47,3,4,Fork
48,3,5,Fork
49,3,6,Fork
50,3,7,Undermining
51,3,8,Undermining
52,3,9,Undermining
53,3,10,Undermining
54,3,11,Undermining
55,3,12,Undermining
56,3,13,Undermining
57,3,14,Pin
58,3,15,Pin
59,3,16,Pin
60,3,17,Pin
61,3,18,Pin
62,3,19,Pin
63,3,20,Pin
64,4,0,Fork
65,4,1,Fork
66,4,2,Fork
67,4,3,Fork
68,4,4,Fork
69,4,5,Fork
70,4,6,Fork
71,4,7,Undermining
72,4,8,Undermining
73,4,9,Undermining
74,4,10,Undermining
75,4,11,Undermining
76,4,12,Undermining
77,4,13,Undermining
78,4,14,Pin
79,4,15,Pin
80,4,16,Pin
81,4,17,Pin
82,4,18,Pin
83,4,19,Pin
84,4,20,Pin
85,5,0,Fork
86,5,1,Fork
87,5,2,Fork
88,5,3,Fork
89,5,4,Fork
90,5,5,Fork
91,5,6,Fork
92,5,7,Undermining
93,5,8,Undermining
94,5,9,Undermining
95,5,10,Undermining
96,5,11,Undermining
97,5,12,Undermining
98,5,13,Undermining
99,5,14,Pin
100,5,15,Pin
101,5,16,Pin
102,5,17,Pin
103,5,18,Pin
104,5,19,Pin
105,5,20,Pin
